###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
60525.819328 -20.685  1.000   -19   19 o  0   0.82 244.33074 -61.26048  7066.50  9815.12 3.09 2.67 -50.2 -0.431 18.61 20.71 03a60526o0264o
60525.822554 -20.169  0.506   -31   16 o  0   1.37 244.33074 -61.26048  7084.45  9854.60 2.88 2.46 -44.2 -0.450 18.57 20.69 03a60526o0271o
60525.829442  22.055  2.933     6   16 o  0   1.01 244.33074 -61.26048  7033.63  9773.52 2.68 2.31 -46.4 -0.454 18.71 20.70 03a60526o0286o
60525.841362 -21.453  1.904   -10   18 o  0   0.97 244.33074 -61.26048  7013.49  9890.11 2.71 2.27 -44.0 -0.463 18.76 20.73 03a60526o0311o
60528.106576 -23.246  7.133    -2   13 c  0   0.66 244.33074 -61.26048  5786.21  5751.96 2.21 2.04 -65.8 -0.399 19.12 21.10 04a60528o0200c
60528.109867 -21.668  1.466    -8   11 c  0   0.97 244.33074 -61.26048  5805.98  5790.04 2.36 2.13 -67.3 -0.390 19.11 21.11 04a60528o0207c
60528.115042 -23.323  7.429    -2   13 c  0   0.78 244.33074 -61.26048  5744.10  5710.17 2.18 2.04 -62.3 -0.405 19.16 21.08 04a60528o0218c
60528.125839  22.852  4.950     3   13 c  0   0.71 244.33074 -61.26048  5719.27  5824.81 2.33 2.10 -65.6 -0.385 19.05 21.07 04a60528o0241c
60529.796577  20.710  0.886    19   17 o  0   0.67 244.33074 -61.26048  2783.24  7681.64 2.31 2.13 -58.2 -0.468 19.03 20.72 03a60530o0211o
60529.799753 -20.966  0.934   -15   14 o  0   1.16 244.33074 -61.26048  2800.35  7719.83 2.28 2.11 -64.3 -0.473 19.00 20.70 03a60530o0218o
60529.807117 -24.038 16.167    -1   14 o  0   0.83 244.33074 -61.26048  2746.84  7643.77 2.33 2.13 -63.1 -0.484 18.97 20.74 03a60530o0234o
60529.829500  21.899  2.583     6   16 o  0   1.05 244.33074 -61.26048  2724.81  7765.83 2.66 2.33 -47.9 -0.452 19.03 20.77 03a60530o0281o
60532.151399  22.529  4.611     4   16 c  0   1.02 244.33074 -61.26048 10148.70  7969.89 2.77 2.60 -45.4 -0.422 19.00 20.89 04a60532o0104c
60532.153667  21.301  1.394    11   15 c  0   0.76 244.33074 -61.26048  1083.41  7942.14 2.62 2.24 -79.9 -0.377 19.15 20.90 04a60532o0109c
60532.154628  20.089  0.492    33   16 c  0   0.83 244.33074 -61.26048 10166.77  8011.18 2.75 2.57 -39.6 -0.413 18.98 20.90 04a60532o0111c
60532.156953 -24.779 26.667    -0   12 c  0   1.12 244.33074 -61.26048  1099.30  7979.73 2.55 2.19 -80.7 -0.392 19.18 20.95 04a60532o0116c
60532.160765 -20.889  1.027   -16   16 c  0   1.06 244.33074 -61.26048 10106.94  7929.84 2.98 2.73 -53.1 -0.395 18.93 20.84 04a60532o0124c
60532.162163 -21.083  1.117   -13   15 c  0   0.71 244.33074 -61.26048  1044.68  7907.97 2.75 2.37 -80.4 -0.368 19.06 20.93 04a60532o0127c
60532.173600  19.872  0.326    41   13 c  0   1.19 244.33074 -61.26048  1017.63  8026.90 2.59 2.24 -83.5 -0.381 19.16 20.95 04a60532o0151c
60532.181573  21.907  2.833     6   18 c  0   0.96 244.33074 -61.26048 10079.42  8047.52 2.81 2.53 -50.6 -0.409 18.63 20.36 04a60532o0168c
60536.063620  22.679  7.217     3   22 o  0   1.37 244.33074 -61.26048  2118.34  9642.03 2.61 1.88 -72.3 -0.427 18.59 19.59 04a60536o0220o
60536.074096  21.580  2.600     8   22 o  0   1.27 244.33074 -61.26048  2131.14  9675.98 2.67 1.94 -71.3 -0.422 18.54 19.57 04a60536o0242o
60536.077302  19.886  0.487    40   20 o  0   1.49 244.33074 -61.26048  2074.90  9599.80 2.65 1.86 -72.6 -0.419 18.58 19.58 04a60536o0249o
60536.083308  20.349  0.846    26   22 o  0   1.11 244.33074 -61.26048  2051.86  9716.05 2.68 1.94 -72.1 -0.416 18.55 19.59 04a60536o0262o
60537.825146  19.466  0.837    59   50 o  0   1.06 244.33074 -61.26048  1802.74  5972.33 2.47 2.13 -64.7 -0.449 17.86 18.07 03a60538o0239o
60537.830192 -21.529  5.556    -9   49 o  0   1.02 244.33074 -61.26048  1820.52  6010.24 2.40 2.09 -65.2 -0.450 17.76 18.00 03a60538o0250o
60537.839565  19.440  0.658    61   40 o  0   1.29 244.33074 -61.26048  1763.31  5937.63 2.35 2.03 -63.8 -0.462 18.04 18.28 03a60538o0270o
60537.842724 -19.810  0.963   -43   42 o  0   0.89 244.33074 -61.26048  1744.86  6053.24 2.48 2.12 -63.0 -0.449 18.00 18.31 03a60538o0277o
60541.845368 -21.293  3.582   -11   40 o  0   0.90 244.33074 -61.26048  7740.98  2206.61 2.74 2.55 -52.7 -0.453 18.15 18.63 03a60542o0206o
60541.848577 -19.708  0.857   -48   41 o  0   0.83 244.33074 -61.26048  7758.86  2246.62 2.80 2.59 -55.8 -0.447 18.10 18.62 03a60542o0213o
60541.860808  19.217  0.531    75   40 o  0   0.83 244.33074 -61.26048  7701.20  2164.16 2.85 2.63 -49.9 -0.436 18.07 18.59 03a60542o0240o
