,JD,Magnitude,Magnitude_Error
0,2458351.8301852,18.9668159,0.0442392416
1,2458371.7904398,18.9569035,0.0439467169
2,2458658.9379514,18.9209633,0.0429069996
3,2458688.8476968,18.9489441,0.0437136851
4,2458691.8538194,19.0280209,0.0461017527
5,2458955.9889236,18.9187889,0.0428451225
6,2458961.96625,19.0312538,0.0462028943
7,2458962.9416435,18.8567524,0.0411281735
8,2458964.9875116,18.963089,0.0441289507
9,2458965.981088,18.9570866,0.0439521074
10,2458966.9908218,18.9553013,0.043899674
11,2458967.9987384,18.9649086,0.0441827625
12,2458968.9884375,18.9574699,0.0439633913
13,2458972.9859953998,18.9774361,0.0445553884
14,2458973.9241088,18.9690418,0.0443052575
15,2458974.9258449,18.9100609,0.0425979234
16,2458975.8670949,18.9089355,0.0425661877
17,2458976.9255556,18.9343948,0.0432917848
18,2458978.8679167,19.0495415,0.0467803255
19,2458979.9058333,18.9422302,0.0435183384
20,2458980.8897685,18.9478931,0.0436830148
21,2458981.8838542,19.0149422,0.0456954762
22,2458983.9039931,18.9062901,0.0424917117
23,2458985.8629977,18.8936291,0.0421376042
24,2458986.863669,18.9692745,0.0443121605
25,2458987.8850694,18.926672,0.0430699661
26,2458991.886169,18.9146538,0.0427277759
27,2458992.9076389,18.969717,0.0443253033
28,2458993.9468171,18.9378223,0.0433906876
29,2458994.8832176,18.8944893,0.0421615578
30,2458995.9020255,18.9547558,0.0438836925
31,2458996.9040394,18.9418373,0.0435069241
32,2458997.863125,18.9312458,0.0432011522
33,2458998.9114352,18.8875866,0.0419699699
34,2458999.8900694,19.1034641,0.0485365614
35,2459001.8466088,18.9269028,0.043076586
36,2459002.8813194,19.064806,0.0472692847
37,2459004.8905787,18.9960594,0.0451168902
38,2459005.8896875,17.9451981,0.024269294
39,2459008.9686574,18.9486427,0.0437048823
40,2459009.8434954,18.9541817,0.0438668467
41,2459010.8918171,18.9589005,0.0440054685
42,2459011.889213,18.9306583,0.0431842692
43,2459013.8118866,18.9201527,0.0428839177
44,2459014.8212269,18.9145298,0.0427242629
45,2459015.8879861,18.9494934,0.043729689
46,2459016.8196875,18.9258308,0.0430459194
47,2459017.8618519,18.8702602,0.0414941758
48,2459018.8231019,18.9275513,0.0430951566
49,2459019.8194329,18.899826,0.0423104241
50,2459020.8354398,18.885046,0.0418997593
51,2459022.8189236,18.9477634,0.0436792299
52,2459023.8602778,18.9012032,0.0423489846
53,2459024.840081,18.9141293,0.0427129157
54,2459025.802963,18.9089985,0.0425679721
55,2459026.8472569,18.9451141,0.0436021015
56,2459027.8445139,18.9628124,0.0441207848
57,2459028.8213657,18.9692822,0.0443123765
58,2459031.7980093,18.8888912,0.0420061089
59,2459032.789919,18.9528465,0.0438277312
60,2459033.7999421,18.9332447,0.0432586521
61,2459034.7988542,18.9009876,0.0423429422
62,2459035.7792824,18.8604679,0.0412283912
63,2459036.8435532,18.9600658,0.0440397672
64,2459037.8197222,18.9635372,0.0441421941
65,2459038.8383681,18.9699574,0.0443324558
66,2459039.8247685,18.9730644,0.0444248952
67,2459040.8429861,18.9360485,0.0433394611
68,2459042.7866204,18.9352036,0.0433150791
69,2459043.8230671,18.8940563,0.0421494767
70,2459044.800081,18.9261322,0.0430545509
71,2459045.8257292,19.0044022,0.0453713425
72,2459046.8077199,18.9245777,0.0430101044
73,2459047.7988079,18.9004078,0.0423266925
74,2459049.7872801,18.9425049,0.0435262918
75,2459050.8544907,18.9384251,0.0434081256
76,2459051.7895255,18.9677944,0.0442682244
77,2459052.8534259,18.8656902,0.041369848
78,2459053.7889583,18.8807659,0.0417818315
79,2459054.8278009,18.9335251,0.0432667136
