HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2457085.16285,2015-03-03.6657931,bb,2.32,99.990,99.990,99.990,99.990,99.990,V
2457107.13124,2015-03-25.6338846,bb,1.64,16.910,>16.910,99.990,0.097,0.132,V
2457109.12620,2015-03-27.6287511,bb,1.68,16.967,>16.967,99.990,0.367,0.125,V
2457109.12792,2015-03-27.6304815,bb,1.69,16.861,>16.861,99.990,0.403,0.138,V
2457110.12885,2015-03-28.6313585,bb,1.70,17.076,>17.076,99.990,0.396,0.113,V
2457110.13045,2015-03-28.6329668,bb,1.71,17.079,>17.079,99.990,0.034,0.113,V
2457111.11947,2015-03-29.6219400,bb,1.71,17.173,>17.173,99.990,0.224,0.104,V
2457111.12104,2015-03-29.6235047,bb,1.79,17.085,>17.085,99.990,0.162,0.112,V
2457114.12008,2015-04-01.6224031,bb,2.16,16.896,>16.896,99.990,-0.172,0.134,V
2457114.12167,2015-04-01.6239920,bb,2.20,17.050,>17.050,99.990,0.233,0.116,V
2457115.11063,2015-04-02.6129009,bb,2.14,16.268,>16.268,99.990,0.082,0.239,V
2457115.11219,2015-04-02.6144579,bb,2.13,16.459,>16.459,99.990,0.448,0.200,V
2457117.09856,2015-04-04.6007429,bb,1.88,99.990,99.990,99.990,99.990,99.990,V
2457119.09323,2015-04-06.5953144,bb,2.02,16.271,>16.271,99.990,0.013,0.238,V
2457119.09476,2015-04-06.5968462,bb,2.03,16.303,>16.303,99.990,0.515,0.231,V
2457133.09901,2015-04-20.6003297,bb,1.76,16.905,>16.905,99.990,0.368,0.133,V
2457133.10054,2015-04-20.6018631,bb,1.66,16.874,>16.874,99.990,0.294,0.137,V
2457135.11292,2015-04-22.6141226,bb,2.00,16.869,>16.869,99.990,0.412,0.137,V
2457135.11447,2015-04-22.6156780,bb,2.09,17.166,>17.166,99.990,0.138,0.104,V
2457136.06117,2015-04-23.5623174,bb,1.67,17.144,>17.144,99.990,0.182,0.106,V
2457136.06274,2015-04-23.5638954,bb,1.67,17.102,>17.102,99.990,0.096,0.111,V
2457137.06662,2015-04-24.5677077,bb,1.65,17.075,>17.075,99.990,0.445,0.113,V
2457137.06817,2015-04-24.5692651,bb,1.67,17.100,>17.100,99.990,0.124,0.111,V
2457138.09878,2015-04-25.5998112,bb,2.00,16.997,>16.997,99.990,0.471,0.122,V
2457150.08390,2015-05-07.5841855,bb,1.70,16.574,>16.574,99.990,0.722,0.180,V
2457150.08553,2015-05-07.5858255,bb,1.72,16.529,>16.529,99.990,0.170,0.188,V
2457156.00644,2015-05-13.5063642,bb,2.12,16.997,>16.997,99.990,0.438,0.122,V
2457156.00805,2015-05-13.5079743,bb,2.11,17.123,>17.123,99.990,0.304,0.109,V
2457163.05375,2015-05-20.5532479,bb,1.74,17.214,>17.214,99.990,0.408,0.100,V
2457163.05532,2015-05-20.5548266,bb,1.72,17.210,>17.210,99.990,0.375,0.100,V
2457171.95291,2015-05-29.4518775,bb,1.67,16.483,>16.483,99.990,0.226,0.196,V
2457171.95451,2015-05-29.4534755,bb,1.69,16.415,>16.415,99.990,0.030,0.208,V
2457171.99716,2015-05-29.4961281,bb,1.68,16.533,>16.533,99.990,0.087,0.187,V
2457171.99880,2015-05-29.4977553,bb,1.71,16.659,>16.659,99.990,0.050,0.166,V
2457180.03010,2015-06-06.5286004,bb,1.70,16.450,>16.450,99.990,0.535,0.202,V
2457180.03193,2015-06-06.5304288,bb,1.68,16.365,>16.365,99.990,-0.162,0.218,V
2457183.03343,2015-06-09.5317659,bb,1.74,16.736,>16.736,99.990,-0.003,0.155,V
2457183.03491,2015-06-09.5332506,bb,1.75,16.949,>16.949,99.990,0.032,0.127,V
2457184.96587,2015-06-11.4641035,bb,1.65,17.201,>17.201,99.990,0.292,0.101,V
2457184.96743,2015-06-11.4656672,bb,1.76,17.018,>17.018,99.990,0.234,0.120,V
2457191.01239,2015-06-17.5103256,bb,2.15,16.508,15.654,0.100,2.101,0.192,V
2457191.01389,2015-06-17.5118196,bb,2.15,16.392,15.333,0.083,2.822,0.213,V
2457192.03435,2015-06-18.5322039,bb,1.64,16.510,13.959,0.021,10.009,0.193,V
2457192.03640,2015-06-18.5342510,bb,1.68,16.493,13.813,0.018,11.445,0.196,V
