,JD,Magnitude,Magnitude_Error
0,2458246.9880671,13.7918444,0.0295094606
1,2458273.9453588,13.6818447,0.0295430608
2,2458274.8784259,13.6977491,0.0295378249
3,2458277.8545139,13.8920565,0.0294844769
4,2458280.9162847,13.700841,0.0295368228
5,2458284.8573148,13.8339243,0.0294982865
6,2458292.8364352,13.5418777,0.0295942128
7,2458608.9181366,13.5285177,0.0295995474
8,2458647.8357292,13.58043,0.0295792427
9,2458676.8097454,13.7483196,0.0295220148
10,2458677.8173958,14.0661259,0.0294554271
11,2458685.7871759,13.6192961,0.0295648165
12,2458709.6680093,13.7355289,0.0295258928
13,2458712.6884144,13.6833534,0.0295425579
14,2458715.7399653,13.7932215,0.0295090787
15,2458726.6479861,13.5393896,0.0295951981
16,2458963.9749653,13.6741762,0.0295456275
17,2458991.8982523,13.7326746,0.0295267701
18,2459002.8993056,13.7195368,0.0295308568
19,2459027.856169,13.5242834,0.0296012517
20,2459032.8573843,14.1214981,0.0294504054
21,2459032.8587847,14.1156569,0.0294508301
22,2459037.7506366,13.5713367,0.0295827147
23,2459042.8292477,13.8209181,0.0295016374
24,2459060.7102199,13.7562141,0.0295196641
25,2459086.7078009,13.8207769,0.0295016728
26,2459339.9228472,14.0202417,0.0294611901
27,2459344.9398727,13.5258989,0.0296006016
28,2459348.9401736,13.5978384,0.0295726974
29,2459352.9416435,13.625246,0.029562667
30,2459354.9399306,13.4540157,0.0296306554
31,2459359.9409722,13.8808556,0.0294869877
32,2459371.8765625,13.5392046,0.0295952726
33,2459374.8950231,13.6881628,0.0295409653
34,2459376.8726389,13.7969599,0.0295080524
35,2459386.824213,13.7287636,0.0295279771
36,2459393.8139583,13.7833996,0.0295118187
37,2459396.7722222,13.6137028,0.0295668505
38,2459401.8573727,13.9262934,0.0294772666
39,2459403.8564699,13.6278801,0.0295617227
40,2459405.7940741,13.6312838,0.0295605063
41,2459407.7525347,13.9181385,0.0294789206
42,2459409.7307292,13.5516176,0.0295903683
43,2459411.7943056,13.796957,0.0295080543
44,2459414.7513542,13.842123,0.0294962209
45,2459419.7097569,13.6024656,0.0295709781
46,2459423.8149074,13.5470858,0.0295921527
47,2459425.751088,13.7296991,0.0295276884
48,2459427.7715856,13.5601206,0.029587049
49,2459429.7717361,13.5419292,0.0295941923
50,2459434.7305324,13.6443176,0.0295558926
51,2459440.6903009,13.5131903,0.0296057612
52,2459447.6730787,13.4122467,0.0296490584
53,2459450.7093287,13.5560026,0.0295886509
54,2459452.6836227,13.7895765,0.0295100901
55,2459454.6889352,13.4383049,0.0296374988
56,2459457.7096644,13.3562918,0.0296747424
57,2459460.6705556,13.4239693,0.0296438262
58,2459462.6704745,13.6377535,0.029558206
59,2459464.6696181,13.333395,0.0296855792
60,2459468.6478125,13.4419527,0.0296359006
61,2459473.6687616,13.7308903,0.0295273196
62,2459478.6351042,13.4118748,0.0296492241
63,2459697.0045718,13.5538454,0.0295894966
64,2459711.899213,14.0046825,0.0294634644
65,2459713.9370255,13.5948257,0.0295738205
66,2459725.9397454,14.0070057,0.0294631142
67,2459727.8563542,13.6185284,0.029565094
68,2459730.8757523,13.5114527,0.0296064708
69,2459732.8980208,13.7965946,0.029508153
70,2459734.9005671,13.6054115,0.0295698904
71,2459737.9019907,13.5228062,0.0296018515
72,2459739.8529282,13.925375,0.029477451
73,2459741.8994097,13.6787739,0.0295440853
74,2459743.8780208,13.7160053,0.0295319688
75,2459749.8766319,13.7856922,0.0295111742
76,2459751.8534144,13.5774174,0.0295803901
77,2459753.7929861,13.7408791,0.0295242611
78,2459762.8155093,13.7657099,0.0295168813
79,2459764.8145949002,13.5945091,0.0295739379
80,2459766.8141319,13.7766056,0.0295137446
81,2459769.7928588,13.7890425,0.0295102391
82,2459769.8362384,13.7948246,0.0295086391
83,2459781.8354398,13.6603737,0.0295503195
84,2459785.8164583,13.5746517,0.0295814443
85,2459787.751412,13.8817358,0.0294867884
86,2459789.7764005,13.6346903,0.02955929
87,2459792.7746991,13.6015272,0.0295713283
88,2459802.7728009,13.7604132,0.0295184292
89,2459806.6693171,13.6063967,0.0295695309
90,2459808.7315046,13.7518187,0.0295209698
91,2459810.6912963,13.8785419,0.0294875149
92,2459812.7321528,13.5777874,0.0295802467
93,2459816.6892477,13.5794029,0.029579632
94,2459822.6704514,13.59056,0.0295754187
95,2459824.6911921,13.9593287,0.0294709802
96,2459837.6407176,13.6774254,0.029544536
97,2459840.6495139,13.576046,0.0295809135
98,2459842.6364815,13.7150984,0.0295322575
99,2460064.9605324,13.5164328,0.0296044406
100,2460075.959213,13.5210581,0.0296025593
101,2460083.9202431,13.7074366,0.0295346975
102,2460085.8764005,13.4512739,0.0296318401
103,2460087.9189931,13.7196693,0.0295308139
104,2460091.9181597,13.5977774,0.0295727197
105,2460098.9220602,13.7125664,0.0295330603
106,2460103.9201852,13.5931902,0.0295744315
107,2460111.8769444,14.0721245,0.029454777
108,2460111.9261111,13.9802637,0.029467348
109,2460111.9265856,13.8431253,0.0294959731
110,2460114.8999653,13.8006954,0.0295070317
111,2460117.8143519,13.7162209,0.0295319017
112,2460121.8770718,13.7320547,0.0295269601
113,2460123.7719907,13.5926409,0.0295746364
114,2460125.8613773,14.0336361,0.029459361
115,2460133.8115394,13.5448895,0.0295930188
116,2460138.7306944,13.7901878,0.0295099188
117,2460140.8208912,13.5307798,0.0295986384
118,2460143.778287,13.6059923,0.029569678
119,2460145.8150926,14.0460329,0.0294577777
120,2460147.7935417,13.5619974,0.029586317
121,2460149.7926389,13.7710638,0.0295153316
122,2460153.7946759,13.7445488,0.029523151
123,2460161.7742245,13.6054688,0.0295698717
124,2460163.8104977,13.7493963,0.0295216925
125,2460166.672581,13.8580894,0.0294923112
126,2460171.6904282,13.5393515,0.029595213
127,2460173.6899074,13.8778772,0.0294876657
128,2460178.7004167,13.5268583,0.0296002161
129,2460181.6902546,13.5539455,0.0295894556
130,2460184.7267593,13.6639957,0.029549079
131,2460186.7071065,13.8433151,0.0294959247
132,2460194.6514236,13.6733713,0.0295458976
133,2460202.6718866,13.5561552,0.0295885932
134,2460204.640544,13.8240786,0.029500816
