name_prefix,name,ra,declination,discoverydate,reporters,Discovery_ADS_bibcode,iau_name,runcat_id,iau_name,last_obs
AT,2025max,240.633933,16.292108,2025-05-25 06:34:24.000,"L. Landsberg, H. Tranin, F. Stoppa, D. Pieterse, G. Ramsay, S. Faris, P. Groot, P. Vreeswijk, N. Blagorodnova, J. van Roestel, H. Wichern, S. Scaringi",2025TNSTR1968....1L,BGEM J160232.14+161731.5,31546412,BGEM J003623.71-081225.0,60331.22683147708
AT,2025mkv,17.558692,-30.494986,2025-05-22 10:07:44.000,"J. A. Paice, H. Tranin, F. Stoppa, D. Pieterse, G. Ramsay, S. Faris, P. Groot, P. Vreeswijk, N. Blagorodnova, J. van Roestel, H. Wichern, S. Scaringi",2025TNSTR2017....1P,BGEM J011014.08-302941.9,21399922,BGEM J081212.36-130921.0,60297.11379501775
AT,2025lrw,17.943646,-47.213408,2025-05-22 10:05:33.000,"F. Stoppa, H. Tranin, D. Pieterse, G. Ramsay, S. Faris, P. Groot, P. Vreeswijk, N. Blagorodnova, J. van Roestel, H. Wichern, S. Scaringi",2025TNSTR1929....1S,BGEM J011146.47-471248.2,21564020,BGEM J142214.16-122323.6,60297.20223281615
AT,2025lso,349.728033,-41.946839,2025-05-22 09:43:13.000,"P. Groot, H. Tranin, F. Stoppa, D. Pieterse, G. Ramsay, S. Faris, P. Vreeswijk, N. Blagorodnova, J. van Roestel, H. Wichern, S. Scaringi",2025TNSTR1931....1G,BGEM J231854.72-415648.6,48455864,BGEM J111635.67-034150.0,60381.304133870355
AT,2025lrx,139.561667,-21.60935,2025-05-21 23:14:29.000,"G. Ramsay, H. Tranin, F. Stoppa, D. Pieterse, S. Faris, P. Groot, P. Vreeswijk, N. Blagorodnova, J. van Roestel, H. Wichern, S. Scaringi",2025TNSTR1930....1R,BGEM J091814.80-213633.6,33537141,BGEM J020234.15+233824.7,60339.29944807816
AT,2025mli,6.792446,-45.290556,2025-05-21 10:16:21.000,"S. Faris, H. Tranin, F. Stoppa, D. Pieterse, G. Ramsay, P. Groot, P. Vreeswijk, N. Blagorodnova, J. van Roestel, H. Wichern, S. Scaringi",2025TNSTR2018....1F,BGEM J002710.18-451725.9,17858207,BGEM J072858.51-503425.0,60280.22768148787
AT,2025kxp,200.322371,-43.769697,2025-05-21 02:43:56.000,"G. Ramsay, H. Tranin, F. Stoppa, D. Pieterse, S. Faris, P. Groot, P. Vreeswijk, N. Blagorodnova, J. van Roestel, H. Wichern, S. Scaringi",2025TNSTR1864....1R,BGEM J132117.36-434610.9,30073942,BGEM J005118.63-262043.1,60326.3774711059
AT,2025mlh,334.917254,-36.917619,2025-05-20 08:34:32.000,"H. Tranin, F. Stoppa, D. Pieterse, G. Ramsay, S. Faris, P. Groot, P. Vreeswijk, N. Blagorodnova, J. van Roestel, H. Wichern, S. Scaringi",2025TNSTR2016....1T,BGEM J221940.14-365503.4,45762844,BGEM J072413.65-005917.5,60375.27388744644
SN,2025kxm,304.123546,-44.705886,2025-05-20 07:16:28.000,"G. Ramsay, H. Tranin, F. Stoppa, D. Pieterse, S. Faris, P. Groot, P. Vreeswijk, N. Blagorodnova, J. van Roestel, H. Wichern, S. Scaringi",2025TNSTR1864....1R,BGEM J201629.65-444221.1,52993457,BGEM J135310.19-330204.0,60385.04756610205
AT,2025mku,211.632283,-26.911894,2025-05-20 02:12:08.000,"J. A. Paice, H. Tranin, F. Stoppa, D. Pieterse, G. Ramsay, S. Faris, P. Groot, P. Vreeswijk, N. Blagorodnova, J. van Roestel, H. Wichern, S. Scaringi",2025TNSTR2017....1P,BGEM J140631.74-265442.8,38651551,BGEM J021303.36+052202.3,60356.21799473907
AT,2025mkx,158.219908,-27.658081,2025-05-19 23:37:18.000,"F. Stoppa, H. Tranin, D. Pieterse, G. Ramsay, S. Faris, P. Groot, P. Vreeswijk, N. Blagorodnova, J. van Roestel, H. Wichern, S. Scaringi",2025TNSTR2015....1S,BGEM J103252.77-273929.0,30963853,BGEM J140344.94-335952.6,60330.111016057206
AT,2025mll,150.898558,-15.322247,2025-05-19 23:18:20.000,"S. Faris, H. Tranin, F. Stoppa, D. Pieterse, G. Ramsay, P. Groot, P. Vreeswijk, N. Blagorodnova, J. van Roestel, H. Wichern, S. Scaringi",2025TNSTR2018....1F,BGEM J100335.65-151920.0,34113262,BGEM J003409.83-073554.6,60342.07303241173
AT,2025kyt,301.672358,-53.698806,2025-05-12 10:22:04.000,"P. Groot, H. Tranin, F. Stoppa, D. Pieterse, G. Ramsay, S. Faris, P. Vreeswijk, N. Blagorodnova, J. van Roestel, H. Wichern, S. Scaringi",2025TNSTR1866....1G,BGEM J200641.36-534155.6,51412685,BGEM J150211.27-135527.1,60384.17011104102
AT,2025kxx,275.278392,-27.611222,2025-05-12 09:46:07.000,"L. Landsberg, H. Tranin, F. Stoppa, D. Pieterse, G. Ramsay, S. Faris, P. Groot, P. Vreeswijk, N. Blagorodnova, J. van Roestel, H. Wichern, S. Scaringi",2025TNSTR1865....1L,BGEM J182106.81-273640.3,53155819,BGEM J123855.97-404701.2,60385.096606065505
AT,2025kzp,241.572096,15.404308,2025-05-12 05:02:19.000,"P. Groot, H. Tranin, F. Stoppa, D. Pieterse, G. Ramsay, S. Faris, P. Vreeswijk, N. Blagorodnova, J. van Roestel, H. Wichern, S. Scaringi",2025TNSTR1891....1G,BGEM J160617.30+152415.5,31105032,BGEM J003528.54-081223.8,60330.278141160656
