,runcat_id,ra,dec,n_datapoints,snr,q_min,q_max,u_min,u_max,i_min,i_max,Gmag,BP-RP,Dist,b_Dist_cds,B_Dist_cdsa,RPlx,qui_min,M_G,url,qui_diff
0,33525161,15.394330363491331,-72.59336026748808,2,26.611072540283203,17.777847290039062,20.055042266845703,,,17.028095245361328,18.839351654052734,16.687185,1.673053,3599.9114,3409.5117,3971.2175,12.81778254737622,17.028095245361328,3.9057259391699564,http://gemtom.blackgem.org/transients/33525161,1.8112564086914062
1,33525162,15.394757726114758,-72.59335328740052,2,26.611072540283203,17.777847290039062,18.64352035522461,,,17.028095245361328,18.839351654052734,16.687185,1.673053,3599.9114,3409.5117,3971.2175,12.81778254737622,17.028095245361328,3.9057259391699564,http://gemtom.blackgem.org/transients/33525162,1.8112564086914062
6,33673547,81.95330853813321,-70.73539498026206,2,7.530752182006836,18.905967712402344,19.76721954345703,,,,,17.87288,1.423151,1445.0148,1325.4521,1599.0999,10.561128574759236,18.905967712402344,7.0735185239647915,http://gemtom.blackgem.org/transients/33673547,0.8612518310546875
19,33678799,76.70758800350295,-71.16294051618921,2,6.920295238494873,18.58159065246582,18.58159065246582,,,17.43114471435547,18.481557846069336,17.057154,1.558029,3450.2637,3223.7642,3611.8044,17.783021965249997,17.43114471435547,4.367892554954915,http://gemtom.blackgem.org/transients/33678799,1.0504131317138672
20,33678807,76.61627280357723,-71.16212039444133,1,6.414549350738525,18.678407669067383,18.678407669067383,,,17.481487274169922,18.622095108032227,17.17822,1.443951,3694.6135,3449.2637,3901.7676,16.32964268374261,17.481487274169922,4.340374936003075,http://gemtom.blackgem.org/transients/33678807,1.1406078338623047
21,33678844,76.73940121880081,-71.15844568544605,1,8.149686813354492,18.651752471923828,18.651752471923828,,,17.520021438598633,18.358543395996094,17.243362,1.511454,2560.9185,2475.239,2651.7246,29.02127425693655,17.520021438598633,5.201383212623655,http://gemtom.blackgem.org/transients/33678844,0.8385219573974609
22,33678846,76.70985728044911,-71.15820232048371,2,6.304576396942139,19.003917694091797,19.003917694091797,,,18.025976181030273,18.81869888305664,17.686289,0.360842,6505.2305,6461.2856,6564.3013,126.295904410687,18.025976181030273,3.6199755523109367,http://gemtom.blackgem.org/transients/33678846,0.7927227020263672
24,33678852,76.6703420957679,-71.1573186308095,2,6.048854827880859,19.231863021850586,19.231863021850586,,,17.917333602905273,18.787736892700195,17.831785,1.224514,1529.188,1209.4362,1617.0282,7.503523130974115,17.917333602905273,6.909480593397898,http://gemtom.blackgem.org/transients/33678852,0.8704032897949219
25,33678930,77.2789635610313,-71.14802582895747,2,6.338055610656738,18.57119369506836,18.57119369506836,,,17.610998153686523,18.456619262695312,16.679218,1.56625,3673.1965,3429.6663,3888.2065,16.021262694088765,17.610998153686523,3.8539971908585766,http://gemtom.blackgem.org/transients/33678930,0.8456211090087891
27,33679069,76.72157683266568,-71.13421304080704,1,7.965884685516357,18.43008804321289,18.43008804321289,,,17.220561981201172,18.191646575927734,16.823376,1.446833,3538.326,3378.2258,3723.272,20.50928832139002,17.220561981201172,4.07938678155384,http://gemtom.blackgem.org/transients/33679069,0.9710845947265625
28,33679108,77.45460920615113,-71.12998415244031,2,7.377641201019287,18.572362899780273,18.572362899780273,,,17.478633880615234,18.269805908203125,16.703966,1.685529,3930.9731,3529.2412,4254.645,10.838027316647631,17.478633880615234,3.731465640428347,http://gemtom.blackgem.org/transients/33679108,0.7911720275878906
29,33679179,76.64289666253607,-71.12199965095483,1,7.031489372253418,18.862489700317383,18.862489700317383,,,17.68563461303711,18.48427391052246,17.284332,1.621912,2512.5684,2422.3188,2608.4258,27.001331492098636,17.68563461303711,5.283742532756342,http://gemtom.blackgem.org/transients/33679179,0.7986392974853516
30,33679248,78.03767506856767,-71.11392473201894,2,10.501636505126951,16.461084365844727,16.461084365844727,16.567440032958984,16.994585037231445,15.666144371032715,17.021970748901367,14.245677,0.404388,15903.7295,15591.479,16401.096,39.28704436789237,15.666144371032715,-1.761817901898354,http://gemtom.blackgem.org/transients/33679248,1.3558263778686523
35,33679446,76.35055110900056,-71.09466346345484,1,8.001832962036133,18.7180233001709,18.7180233001709,,,17.431392669677734,18.33319854736328,17.234049,1.322807,1645.0582,1499.3138,1747.7721,13.24212714970681,17.431392669677734,6.153142663367216,http://gemtom.blackgem.org/transients/33679446,0.9018058776855469
36,33679477,76.4003204532914,-71.0903828790124,1,6.799381256103516,18.535844802856445,19.002567291259766,,,17.4161376953125,18.450679779052734,16.968306,1.328117,1679.743,1596.3745,1730.4183,25.062598941539974,17.4161376953125,5.842091800358297,http://gemtom.blackgem.org/transients/33679477,1.0345420837402344
38,33679546,76.35137887371468,-71.08336227180676,2,7.795844078063965,18.737342834472656,18.737342834472656,,,17.646875381469727,18.64661407470703,17.389925,1.564308,1316.6797,1246.9506,1375.4646,20.490836795991076,17.646875381469727,6.792524300744242,http://gemtom.blackgem.org/transients/33679546,0.9997386932373047
39,33679608,76.43501907694089,-71.07674653052382,1,8.32899284362793,18.377151489257812,18.765947341918945,,,17.21173667907715,18.147859573364258,16.912773,1.390999,8020.7124,7326.7573,8878.965,10.334586537613491,17.21173667907715,2.391708279746002,http://gemtom.blackgem.org/transients/33679608,0.9361228942871094
40,33679637,76.73717414564105,-71.07241532824617,2,6.031830787658691,18.616653442382812,18.616653442382812,,,18.08182144165039,18.88640785217285,17.19298,-0.164265,21466.742,20545.037,22067.947,28.191740811998084,18.08182144165039,0.5341493164280777,http://gemtom.blackgem.org/transients/33679637,0.8045864105224609
43,33679651,76.60286924480931,-71.07084605951017,1,8.16995620727539,18.16318130493164,18.73046112060547,,,17.43695831298828,18.30946159362793,16.992329,1.184839,1480.1467,1443.972,1536.2029,32.096546818907754,17.43695831298828,6.140805193825434,http://gemtom.blackgem.org/transients/33679651,0.8725032806396484
44,33679675,76.88445883720156,-71.06775733147089,1,6.821816444396973,19.122995376586914,19.122995376586914,,,17.55140495300293,18.537233352661133,17.074545,1.561239,3777.672,3575.8853,4524.738,7.962610002585224,17.55140495300293,4.188423764064048,http://gemtom.blackgem.org/transients/33679675,0.9858283996582031
45,33679692,77.36310336363077,-71.06580399255068,2,6.912500381469727,18.356510162353516,18.356510162353516,,,17.016151428222656,18.19123649597168,16.405478,1.883011,4253.272,3997.9812,4792.8516,10.701799941223126,17.016151428222656,3.2618622146666496,http://gemtom.blackgem.org/transients/33679692,1.1750850677490234
46,33679726,77.03927337792176,-71.06187986362623,1,6.106689929962158,18.706579208374023,18.706579208374023,,,17.880760192871094,18.666889190673828,17.03558,1.560064,2572.3345,2483.1372,2646.5837,31.47616498364908,17.880760192871094,4.983942787490218,http://gemtom.blackgem.org/transients/33679726,0.7861289978027344
48,33679768,77.25635481155547,-71.05784143341316,2,9.87972640991211,18.20848274230957,18.20848274230957,,,16.625699996948242,17.774879455566406,16.113678,2.274328,6103.701,6055.643,6166.2134,110.40388747802345,16.625699996948242,2.1857117458676143,http://gemtom.blackgem.org/transients/33679768,1.149179458618164
50,33679851,77.61372720505128,-71.0485043828598,1,6.339405536651611,18.22258186340332,18.22258186340332,,,16.78133201599121,18.13402557373047,16.017141,1.952209,4984.4067,4697.045,5217.5728,19.151356373281125,16.78133201599121,2.5290736443852033,http://gemtom.blackgem.org/transients/33679851,1.3526935577392578
