0,    Other,
1,    SN,                   General Supernova
2,    SN I,                 General type I Supernova
3,    SN Ia,
4,    SN Ib,
5,    SN Ic,
6,    SN Ib/c,
7,    SN Ic-BL,
9,    SN Ibn,
10,   SN II,
11,   SN IIP,
12,   SN IIL,
13,   SN IIn,
14,   SN IIb,
15,   SN I-faint,           faint type I (e.g. 09dav; 2012hn)
16,   SN I-rapid,           rapid/fast type I (e.g. 2002bj; 2010X)
18,   SLSN-I,               Hydrogen-poor (type I) super-luminous SN
19,   SLSN-II,              Hydrogen-rich (type II) super-luminous SN
20,   SLSN-R,               Radioactive-powered super-luminous SN (PISN)
23,   Afterglow,            GRB afterglow
24,   LBV,                  Luminous Blue Variable
25,   ILRT,                 Intermediate Luminosity Red Transient (LRN)
26,   Nova,                 Classical or Dwarf Nova
27,   CV,                   Cataclysmic Variable
28,   Varstar,              Variable Star
29,   AGN,                  Active Galactic Nucleus
30,   Galaxy,
31,   QSO,                  Quasi Stellar Object
32,   Blazar,
40,   Light-Echo,           Any general Light Echo
50,   Std-spec,             Spectrophotometric standard star
60,   Gap,                  General Gap object
61,   Gap I,                Gap object type I
62,   Gap II,               Gap object type II
65,   LRN,                  Luminous Red Nova
66,   FBOT,                 Fast Blue Optical Transient
70,   Kilonova,             aka Macronova
99,   Imposter-SN,          SN impostor
100,  SN Ia-pec,            Peculiar Ia
102,  SN Ia-SC,             Super-Chandrasekhar-mass (Super-Chandra)
103,  SN Ia-91bg-like,
104,  SN Ia-91T-like,
105,  SN Iax[02cx-like],    Fainter peak magnitudes - lower ejecta velocities - similar to prototype SN2002cx.
106,  SN Ia-CSM,            Formerly called 02ic-like
107,  SN Ib-pec,            Peculiar Ib
108,  SN Ic-pec,            Peculiar Ic
109,  SN Icn,               C/O narrow emission lines - no H/He
110,  SN Ibn/Icn,           Transitional Ibn Icn - Strong C/O - weak He lines
111,  SN II-pec,            Peculiar II
112,  SN IIn-pec,           Peculiar IIn
115,  SN Ib-Ca-rich,        Calcium-rich - faint SNe Ib similar to SN2005E
116,  SN Ib/c-Ca-rich,
117,  SN Ic-Ca-rich,
118,  SN Ia-Ca-rich,
120,  TDE,                  Tidal Disruption Event
121,  TDE-H,                H-dominated TDEs
122,  TDE-He,               He-dominated TDEs
123,  TDE-H-He,             TDEs showing H+He lines
130,  FRB,                  Fast Radio Burst
200,  WR,                   Wolf-Rayet star
201,  WR-WN,                Wolf-Rayet WN-class (He - N)
202,  WR-WC,                Wolf-Rayet WC-class
203,  WR-WO,                Wolf-Rayet WO-class
210,  M dwarf,              M-Dwarf star
998,  NA/Unknown,           Not available or unknown (mainly for the past objects)
1003, Computed-Ia,          Computed SN Ia (for hosting computed/synthetic spectra)
1011, Computed-IIP,         Computed SN IIP (for hosting computed/synthetic spectra)
1014, Computed-IIb,         Computed SN IIb (for hosting computed/synthetic spectra)
1020, Computed-PISN,        Computed PISN (for hosting computed/synthetic spectra)
1021, Computed-IIn,         Computed SN IIn (for hosting computed/synthetic spectra)
