name,ra,dec,galactic_lng,galactic_lat,type,groups,ID,Obj. Type,Redshift,Host Name,Host Redshift,Reporting Group/s,Discovery Data Source/s,Classifying Group/s,Associated Group/s,Disc. Internal Name,Disc. Instrument/s,Class. Instrument/s,TNS AT,Public,End Prop. Period,Discovery Mag/Flux,Discovery Filter,Discovery Date (UT),Sender,Remarks,Discovery Bibcode,Classification Bibcodes,Ext. catalog/s
AT 2024ggl,179.33334166666666,-43.79738888888889,292.7074886704711,17.99761031591281,SIDEREAL,Public,149642,,,,,BlackGEM,BlackGEM,,BlackGEM,BGEM J115720.00-434750.6,BG4 - BlackGEM-Cam4,,1,1,,20.24,BG-q-BlackGem,2024-04-11 01:22:57.000,BlackGEM_Bot1,,2024TNSTR1021....1S,,
AT 2024gcv,148.18746666666667,-10.754113888888888,247.98801141328354,32.459879072825764,SIDEREAL,Public,149544,,,,,BlackGEM,BlackGEM,,BlackGEM,BGEM J095244.99-104514.8,"BG2 - BlackGEM-Cam2, ML1 - MeerLICHT-Cam",,1,1,,19.36,BG-i-BlackGem,2024-04-09 02:04:16.000,BlackGEM_Bot1,,2024TNSTR.990....1S,,
AT 2024gcl,152.85813749999997,-10.856413888888888,251.90208957350933,35.70917984021228,SIDEREAL,Public,149534,,,,,BlackGEM,BlackGEM,,BlackGEM,BGEM J101125.95-105123.0,"BG2 - BlackGEM-Cam2, ML1 - MeerLICHT-Cam",,1,1,,18.84,BG-i-BlackGem,2024-04-09 02:17:46.000,BlackGEM_Bot1,,2024TNSTR.990....1S,,
AT 2024gcj,175.04637916666664,-43.84293888888889,289.57988472764583,17.173769891938473,SIDEREAL,Public,149532,,,,,BlackGEM,BlackGEM,,BlackGEM,BGEM J114011.13-435034.5,BG4 - BlackGEM-Cam4,,1,1,,20.32,BG-q-BlackGem,2024-04-09 03:46:43.000,BlackGEM_Bot1,,2024TNSTR.990....1S,,
AT 2024gch,294.9039208333333,-57.43635,339.91917551842556,-28.963903083688237,SIDEREAL,Public,149530,,,,,BlackGEM,BlackGEM,,BlackGEM,BGEM J193936.94-572610.8,"BG4 - BlackGEM-Cam4, ML1 - MeerLICHT-Cam",,1,1,,19.99,BG-q-BlackGem,2024-04-09 08:02:00.000,BlackGEM_Bot1,,2024TNSTR.990....1S,,
AT 2024gbp,168.9316583333333,-29.682133333333333,279.2346248508874,28.748102109569007,SIDEREAL,Public,149512,,,,,BlackGEM,BlackGEM,,BlackGEM,BGEM J111543.59-294055.6,"BG4 - BlackGEM-Cam4, ML1 - MeerLICHT-Cam",,1,1,,20.51,BG-q-BlackGem,2024-03-09 04:24:54.000,BlackGEM_Bot1,,2024TNSTR.991....1T,,
AT 2024fzg,215.60919166666665,-46.973647222222226,318.6506767415631,13.101894469968062,SIDEREAL,Public,149449,,,,,BlackGEM,BlackGEM,,BlackGEM,BGEM J142226.20-465825.1,"BG4 - BlackGEM-Cam4, ML1 - MeerLICHT-Cam",,1,1,,20.23,BG-q-BlackGem,2024-04-08 03:37:01.000,BlackGEM_Bot1,,2024TNSTR.973....1S,,
AT 2024fzf,316.0927666666666,-71.12786666666666,322.4960778694178,-36.10309720753646,SIDEREAL,Public,149448,,,,,BlackGEM,BlackGEM,,BlackGEM,BGEM J210422.26-710740.3,"BG4 - BlackGEM-Cam4, ML1 - MeerLICHT-Cam",,1,1,,19.54,BG-q-BlackGem,2024-04-04 09:42:17.000,BlackGEM_Bot1,,2024TNSTR.973....1S,,
AT 2024fze,264.96132499999993,-73.40805,319.8575287142518,-21.03230360375905,SIDEREAL,Public,149446,,,,,BlackGEM,BlackGEM,,BlackGEM,BGEM J173950.71-732428.9,"BG4 - BlackGEM-Cam4, ML1 - MeerLICHT-Cam",,1,1,,20.34,BG-q-BlackGem,2024-03-15 08:04:28.000,BlackGEM_Bot1,,2024TNSTR.974....1T,,
AT 2024fox,260.05272499999995,-18.1879,5.958288926704715,10.685434760457854,SIDEREAL,Public,149164,,,,,BlackGEM,BlackGEM,,BlackGEM,BGEM J172012.65-181116.4,"BG2 - BlackGEM-Cam2, BG4 - BlackGEM-Cam4",,1,1,,17.62,BG-q-BlackGem,2024-04-04 06:57:32.000,BlackGEM_Bot1,,2024TNSTR.924....1S,,
AT 2024fjf,232.92916666666665,-18.620797222222222,347.705764980265,29.988388364066637,SIDEREAL,Public,148978,,,,,BlackGEM,BlackGEM,,BlackGEM,BGEM J153142.99-183714.8,"BG4 - BlackGEM-Cam4, ML1 - MeerLICHT-Cam",,1,1,,19.79,BG-q-BlackGem,2024-04-02 04:27:35.000,BlackGEM_Bot1,,2024TNSTR.890....1P,,
